game_date,team_id,opp_id,team_rush_avg,team_pass_avg,opp_rush_avg,opp_pass_avg,team_rush_weak,team_pass_weak,opp_rush_weak,opp_pass_weak,result
0012-11-24,457,392,192.3,291.5,97.2,182.0,151.2,261.9,131.1,206.0,1
0008-09-06,498,31,84.0,136.0,,,321.0,85.0,,,0
0008-09-20,8,31,206.66666666666666,176.33333333333334,185.0,323.0,42.666666666666664,178.66666666666666,76.0,270.0,1
0008-09-27,703,31,204.33333333333334,298.0,138.5,270.0,81.0,274.3333333333333,202.0,172.0,1
0008-10-04,235,31,154.5,205.5,96.0,240.0,90.75,151.75,204.0,185.66666666666666,1
0008-10-11,37,31,151.0,160.66666666666666,107.25,235.0,96.66666666666667,154.33333333333334,222.75,198.25,0
0008-10-18,334,31,96.8,196.0,124.2,233.6,119.6,179.8,189.4,186.0,1
0008-10-25,433,31,157.0,214.66666666666666,142.83333333333334,210.33333333333334,120.33333333333333,244.66666666666666,173.0,202.33333333333334,1
0008-11-01,719,31,248.71428571428572,350.85714285714283,137.28571428571428,220.57142857142858,132.85714285714286,243.42857142857142,171.42857142857142,203.28571428571428,0
0008-11-08,648,31,92.625,233.375,126.5,241.125,102.125,149.5,174.5,220.875,1
0008-11-22,430,31,95.77777777777777,177.77777777777777,118.44444444444444,242.66666666666666,162.11111111111111,158.88888888888889,170.22222222222223,220.66666666666666,1
0008-11-28,365,31,159.6,211.8,117.5,251.7,111.7,217.6,175.8,220.5,0
0009-09-19,257,31,136.6,265.6,110.8,247.4,158.6,179.2,184.8,207.8,1
0009-09-26,8,31,196.3,199.7,109.3,266.5,71.5,161.2,167.8,237.9,1
0009-10-03,697,31,118.2,305.6,114.5,267.6,195.5,278.7,160.4,245.7,0
0009-10-10,37,31,173.9,215.4,115.8,272.7,185.0,188.9,143.8,256.6,0
0009-10-17,235,31,253.6,193.8,118.7,277.3,101.8,145.7,162.4,256.2,1
0009-10-24,433,31,185.4,214.9,109.3,290.3,103.0,170.6,166.9,253.3,1
0009-10-31,204,31,122.2,222.7,103.4,287.5,238.3,195.8,172.8,265.6,0
0009-11-07,648,31,110.3,245.1,127.5,278.7,162.1,146.2,162.3,257.1,0
0009-11-14,716,31,139.7,309.8,130.1,286.1,137.2,258.3,157.2,267.9,0
0009-11-21,430,31,181.9,150.4,138.3,293.3,179.8,214.1,144.8,281.3,0
0009-11-28,365,31,131.4,181.0,134.8,296.6,135.7,176.1,162.2,271.9,1
0010-01-02,196,31,165.0,233.6,141.9,278.5,120.1,264.7,161.1,252.3,0
0010-09-11,498,31,180.3,205.7,143.7,279.6,112.4,238.3,166.1,244.1,0
0010-09-18,257,31,160.7,185.5,138.2,292.5,143.9,201.1,166.8,216.8,0
0010-09-25,8,31,216.1,206.9,121.4,303.1,103.3,175.7,156.5,228.8,1
0010-10-09,697,31,203.9,269.0,113.6,316.4,149.0,256.0,165.8,222.7,0
0010-10-16,37,31,229.7,212.2,122.9,322.0,112.6,253.3,156.1,210.7,1
0010-10-23,433,31,213.5,183.1,107.5,335.1,139.3,206.6,180.0,198.8,0
0010-10-30,736,31,140.0,150.8,119.2,328.9,197.3,201.6,190.0,198.8,0
0010-11-06,648,31,145.7,233.6,113.9,330.1,109.2,232.3,191.6,167.1,0
0010-11-13,704,31,132.0,256.8,121.0,329.1,171.9,224.5,169.0,181.3,0
0010-11-20,430,31,224.3,139.0,138.8,331.5,118.4,235.7,167.1,187.2,0
0010-11-27,365,31,185.3,156.8,149.0,341.8,141.5,155.2,175.6,188.7,0
0011-01-04,518,31,219.3,226.8,155.7,333.8,98.5,148.8,176.4,200.9,1
0011-09-10,473,31,127.5,149.2,162.9,323.5,241.4,189.5,185.2,197.7,0
0011-09-17,716,31,160.6,284.4,182.6,325.1,169.6,226.9,171.8,198.5,0
0011-09-24,8,31,169.7,270.9,183.9,324.4,105.8,160.4,167.8,214.6,1
0011-10-01,697,31,177.2,269.8,171.8,302.5,149.4,236.6,154.5,220.6,0
0011-10-08,37,31,222.3,212.9,159.5,326.8,165.3,257.0,174.1,212.6,0
0011-10-22,433,31,149.6,168.3,163.3,311.3,212.4,234.3,191.4,219.4,0
0011-10-29,736,31,154.0,156.4,168.7,304.2,178.2,192.0,195.1,222.2,0
0011-11-05,648,31,192.3,195.8,143.4,310.7,151.3,152.8,204.6,222.4,0
0011-11-12,694,31,80.3,262.4,138.7,310.1,157.1,195.2,185.8,212.8,0
0011-11-19,430,31,165.6,203.7,147.5,302.6,152.9,192.5,186.8,217.2,0
0011-11-25,365,31,217.9,161.9,151.7,312.2,99.6,164.2,172.5,207.8,1
0012-01-06,327,31,194.9,155.3,130.9,295.6,149.6,300.8,191.8,208.4,0
0012-09-08,498,31,150.6,255.4,128.8,286.9,110.2,231.6,192.1,188.4,1
0012-09-15,8,31,194.7,213.0,136.7,294.1,56.6,123.5,186.2,209.6,1
0012-09-22,587,31,119.0,239.6,138.2,251.0,147.3,170.6,171.0,206.2,1
0012-09-29,697,31,185.5,299.7,127.9,266.7,123.7,222.2,155.1,235.5,1
0012-10-06,37,31,151.9,141.0,121.3,280.8,194.2,207.3,162.0,263.4,0
0012-10-13,334,31,108.1,191.2,125.6,274.8,179.6,203.5,143.7,267.5,0
0012-10-27,433,31,182.5,181.0,128.1,282.1,188.1,186.6,142.2,265.1,1
0012-11-03,719,31,208.1,215.0,119.4,287.3,111.1,293.5,136.1,269.1,0
0012-11-10,648,31,145.9,227.3,116.4,277.2,109.6,190.4,139.2,278.6,1
0012-11-17,430,31,153.3,231.6,119.4,284.2,159.2,222.8,121.5,285.7,1
0012-11-23,365,31,192.1,203.2,119.0,285.9,95.5,187.0,133.3,298.6,1
0008-09-06,67,255,234.0,106.0,,,126.0,134.0,,,0
0008-09-13,742,255,104.0,139.0,165.0,73.0,158.0,211.0,120.0,142.0,1
0008-09-20,430,255,67.5,167.5,221.5,91.0,129.5,164.5,159.5,95.0,0
0008-10-04,193,255,114.66666666666667,261.6666666666667,293.6666666666667,81.33333333333333,134.33333333333334,198.33333333333334,145.0,163.0,0
0008-10-18,147,255,106.25,194.5,276.25,118.5,165.0,172.5,117.5,146.5,0
0008-10-25,746,255,106.5,201.33333333333334,262.4,113.0,173.0,205.5,104.2,156.8,1
0008-11-01,234,255,183.2,161.8,244.66666666666666,111.33333333333333,98.0,183.6,108.83333333333333,175.66666666666666,0
0008-11-08,457,255,121.42857142857143,201.57142857142858,251.14285714285714,103.28571428571429,111.85714285714286,224.57142857142858,121.28571428571429,177.42857142857142,1
0008-11-20,415,255,125.88888888888889,180.0,260.5,102.5,119.55555555555556,187.66666666666666,130.25,171.25,0
0008-11-29,257,255,157.3,263.0,284.1111111111111,96.22222222222223,105.9,205.4,127.44444444444444,183.66666666666666,0
0008-12-31,365,255,154.6,205.2,297.0,88.5,119.1,230.1,122.8,206.0,1
0009-09-10,147,255,111.5,204.4,297.6,96.2,132.3,161.8,127.0,208.1,0
0009-09-17,415,255,121.2,226.0,300.1,97.0,188.6,157.5,119.6,229.4,1
0009-09-26,457,255,119.7,207.5,268.1,104.1,131.1,224.7,127.0,226.5,0
0009-10-03,430,255,126.8,153.2,277.9,90.0,142.8,190.8,127.2,230.5,0
0009-10-10,234,255,146.3,223.1,278.7,107.5,173.6,212.1,143.0,238.5,0
0009-10-17,742,255,212.7,162.2,303.3,110.3,118.8,171.8,147.8,247.4,0
0009-10-24,746,255,101.2,204.9,305.4,109.9,148.8,158.6,145.7,244.5,0
0009-10-31,736,255,122.1,144.1,309.1,108.7,182.9,155.7,129.4,248.5,0
0009-11-07,749,255,147.5,244.2,302.5,123.4,156.1,193.7,140.8,238.1,0
0009-11-14,193,255,67.3,249.3,302.4,126.6,158.0,205.1,135.5,223.7,0
